Entity,Code,Year,Annual CO₂ emissions
Africa,,1884,21984
Africa,,1885,36640
Africa,,1886,47632
Africa,,1887,47632
Africa,,1888,80608
Africa,,1889,131904
Africa,,1890,296784
Africa,,1891,296784
Africa,,1892,479984
Africa,,1893,1799024
Africa,,1894,2432896
Africa,,1895,3337904
Africa,,1896,4257568
Africa,,1897,4777856
Africa,,1898,6049264
Africa,,1899,5517984
Africa,,1900,2330304
Africa,,1901,3909488
Africa,,1902,5825760
Africa,,1903,7895920
Africa,,1904,8910848
Africa,,1905,10262864
Africa,,1906,11717472
Africa,,1907,12930256
Africa,,1908,13402912
Africa,,1909,15385136
Africa,,1910,17411328
Africa,,1911,16865392
Africa,,1912,17953600
Africa,,1913,19606064
Africa,,1914,19551104
Africa,,1915,19606064
Africa,,1916,23255408
Africa,,1917,25343888
Africa,,1918,24724672
Africa,,1919,25442816
Africa,,1920,28051584
Africa,,1921,27985632
Africa,,1922,23969888
Africa,,1923,29044528
Africa,,1924,30631040
Africa,,1925,32184576
Africa,,1926,34437936
Africa,,1927,33840704
Africa,,1928,34770320
Africa,,1929,35801616
Africa,,1930,33695670
Africa,,1931,29463712
Africa,,1932,26622752
Africa,,1933,28491132
Africa,,1934,32539280
Africa,,1935,35909544
Africa,,1936,39015950
Africa,,1937,41844264
Africa,,1938,44013164
Africa,,1939,46852930
Africa,,1940,49649184
Africa,,1941,54023456
Africa,,1942,58822884
Africa,,1943,60119628
Africa,,1944,66632910
Africa,,1945,67527180
Africa,,1946,68159370
Africa,,1947,67934744
Africa,,1948,71733140
Africa,,1949,77323530
Africa,,1950,94868000
Africa,,1951,101125270
Africa,,1952,110325210
Africa,,1953,112007010
Africa,,1954,117536136
Africa,,1955,129402500
Africa,,1956,135106260
Africa,,1957,141593120
Africa,,1958,148670930
Africa,,1959,147841250
Africa,,1960,156567200
Africa,,1961,161994340
Africa,,1962,166334910
Africa,,1963,176334880
Africa,,1964,193639340
Africa,,1965,213634400
Africa,,1966,221082100
Africa,,1967,237045200
Africa,,1968,257271420
Africa,,1969,277716580
Africa,,1970,302405900
Africa,,1971,331612900
Africa,,1972,351688000
Africa,,1973,377821120
Africa,,1974,388183260
Africa,,1975,387017150
Africa,,1976,419914700
Africa,,1977,432918820
Africa,,1978,462338660
Africa,,1979,498986780
Africa,,1980,536023460
Africa,,1981,548882300
Africa,,1982,571969100
Africa,,1983,594811400
Africa,,1984,649591230
Africa,,1985,666141950
Africa,,1986,690176300
Africa,,1987,690283140
Africa,,1988,725373250
Africa,,1989,698582900
Africa,,1990,658343900
Africa,,1991,687670400
Africa,,1992,666660030
Africa,,1993,706441700
Africa,,1994,790233800
Africa,,1995,844549400
Africa,,1996,872284300
Africa,,1997,893938400
Africa,,1998,912482100
Africa,,1999,899879040
Africa,,2000,930850800
Africa,,2001,920601800
Africa,,2002,899995840
Africa,,2003,989644600
Africa,,2004,1045725800
Africa,,2005,1059372350
Africa,,2006,1091175800
Africa,,2007,1116900100
Africa,,2008,1174755200
Africa,,2009,1168250400
Africa,,2010,1216669000
Africa,,2011,1257421000
Africa,,2012,1268948200
Africa,,2013,1282541800
Africa,,2014,1357348700
Africa,,2015,1332661800
Africa,,2016,1375131500
Africa,,2017,1393216400
Africa,,2018,1386654300
Africa,,2019,1479411800
Africa,,2020,1355782400
Africa,,2021,1441534000
Africa,,2022,1432502900
Africa,,2023,1418739200
Antarctica,ATA,1987,3664
Antarctica,ATA,1988,7328
Antarctica,ATA,1989,7328
Antarctica,ATA,1990,10992
Antarctica,ATA,1991,14656
Antarctica,ATA,1992,14656
Antarctica,ATA,1993,14656
Antarctica,ATA,1994,14656
Antarctica,ATA,1995,3664
Antarctica,ATA,1996,3664
Antarctica,ATA,1997,3664
Antarctica,ATA,1998,3664
Antarctica,ATA,1999,3664
Antarctica,ATA,2000,3664
Antarctica,ATA,2001,3664
Antarctica,ATA,2002,3664
Antarctica,ATA,2003,3664
Antarctica,ATA,2004,7328
Antarctica,ATA,2005,7328
Antarctica,ATA,2006,7328
Antarctica,ATA,2007,10992
Antarctica,ATA,2008,0
Antarctica,ATA,2009,0
Antarctica,ATA,2010,0
Antarctica,ATA,2011,0
Antarctica,ATA,2012,0
Antarctica,ATA,2013,0
Antarctica,ATA,2014,0
Antarctica,ATA,2015,0
Antarctica,ATA,2016,0
Antarctica,ATA,2017,0
Antarctica,ATA,2018,0
Antarctica,ATA,2019,0
Antarctica,ATA,2020,0
Antarctica,ATA,2021,0
Antarctica,ATA,2022,0
Antarctica,ATA,2023,0
Asia,,1750,0
Asia,,1751,0
Asia,,1752,0
Asia,,1753,0
Asia,,1754,0
Asia,,1755,0
Asia,,1756,0
Asia,,1757,0
Asia,,1758,0
Asia,,1759,0
Asia,,1760,0
Asia,,1761,0
Asia,,1762,0
Asia,,1763,0
Asia,,1764,0
Asia,,1765,0
Asia,,1766,0
Asia,,1767,0
Asia,,1768,0
Asia,,1769,0
Asia,,1770,0
Asia,,1771,0
Asia,,1772,0
Asia,,1773,0
Asia,,1774,0
Asia,,1775,0
Asia,,1776,0
Asia,,1777,0
Asia,,1778,0
Asia,,1779,0
Asia,,1780,0
Asia,,1781,0
Asia,,1782,0
Asia,,1783,0
Asia,,1784,0
Asia,,1785,0
Asia,,1786,0
Asia,,1787,0
Asia,,1788,0
Asia,,1789,0
Asia,,1790,0
Asia,,1791,0
Asia,,1792,0
Asia,,1793,0
Asia,,1794,0
Asia,,1795,0
Asia,,1796,0
Asia,,1797,0
Asia,,1798,0
Asia,,1799,0
Asia,,1800,0
Asia,,1801,0
Asia,,1802,0
Asia,,1803,0
Asia,,1804,0
Asia,,1805,0
Asia,,1806,0
Asia,,1807,0
Asia,,1808,0
Asia,,1809,0
Asia,,1810,0
Asia,,1811,0
Asia,,1812,0
Asia,,1813,0
Asia,,1814,0
Asia,,1815,0
Asia,,1816,0
Asia,,1817,0
Asia,,1818,0
Asia,,1819,0
Asia,,1820,0
Asia,,1821,0
Asia,,1822,0
Asia,,1823,0
Asia,,1824,0
Asia,,1825,0
Asia,,1826,0
Asia,,1827,0
Asia,,1828,0
Asia,,1829,0
Asia,,1830,2370
Asia,,1831,2845
Asia,,1832,1895
Asia,,1833,2370
Asia,,1834,0
Asia,,1835,0
Asia,,1836,0
Asia,,1837,0
Asia,,1838,0
Asia,,1839,0
Asia,,1840,0
Asia,,1841,0
Asia,,1842,0
Asia,,1843,0
Asia,,1844,0
Asia,,1845,0
Asia,,1846,0
Asia,,1847,0
Asia,,1848,0
Asia,,1849,0
Asia,,1850,14699
Asia,,1851,0
Asia,,1852,0
Asia,,1853,0
Asia,,1854,0
Asia,,1855,44575
Asia,,1856,0
Asia,,1857,0
Asia,,1858,457082
Asia,,1859,702872
Asia,,1860,730841
Asia,,1861,608690
Asia,,1862,650824
Asia,,1863,715237
Asia,,1864,694889
Asia,,1865,829952
Asia,,1866,1205242
Asia,,1867,636398
Asia,,1868,527337
Asia,,1869,747657
Asia,,1870,677097
Asia,,1871,900179
Asia,,1872,973161
Asia,,1873,930481
